outer_fold,SubjectNumber,inner_cv_rmse,alpha,gamma,fit_seconds,subset_id
65,124,1.462537312491795,0.01,0.003,0.9168631249340252,groups_111111
66,125,1.4656824212033712,0.01,0.003,0.8828362920321524,groups_111111
67,126,1.4601394678352049,0.01,0.003,0.8795565840555355,groups_111111
68,127,1.464818879154867,0.01,0.003,0.8798244999488816,groups_111111
69,129,1.4699839438626452,0.01,0.003,0.916771208983846,groups_111111
70,130,1.4352245433681332,0.01,0.003,0.8911067079752684,groups_111111
71,133,1.44720623784066,0.01,0.003,0.8790559170302004,groups_111111
72,135,1.4526183245624382,0.01,0.003,0.8805201660143211,groups_111111
73,137,1.4139886424292345,0.001,0.001,0.8837670420762151,groups_111111
74,138,1.481682935791876,0.001,0.001,0.8803063340019435,groups_111111
75,139,1.517545648206175,0.01,0.003,0.8816378330811858,groups_111111
76,140,1.5119459190122226,0.01,0.003,0.8936828330624849,groups_111111
77,141,1.5047870321678192,0.01,0.003,0.8848342500859872,groups_111111
78,142,1.5035490627672308,0.01,0.003,0.8938625839073211,groups_111111
79,144,1.4670668272059908,0.0316227766016837,0.003,0.8821133750025183,groups_111111
80,145,1.5349997294821491,0.0031622776601683,0.001,0.8836098329629749,groups_111111
81,146,1.5462314836024034,0.001,0.001,0.8829628329258412,groups_111111
82,147,1.548784129871836,0.01,0.003,0.8764957500388846,groups_111111
83,148,1.5207234013379003,0.001,0.001,0.904012041981332,groups_111111
84,149,1.54499736069314,0.001,0.001,0.8934553338913247,groups_111111
85,150,1.541536521587581,0.01,0.003,0.8921797920484096,groups_111111
86,151,1.5400760793154833,0.01,0.003,0.9386429160367696,groups_111111
87,153,1.5468907606967457,0.01,0.003,0.8893673329148442,groups_111111
88,154,1.5311060157685676,0.001,0.001,0.8890694999136031,groups_111111
89,158,1.5405415036161605,0.001,0.001,0.9015293340198696,groups_111111
90,160,1.549919277698833,0.01,0.003,0.8915276669431478,groups_111111
91,165,1.4962188437827943,0.001,0.001,0.8819767090026289,groups_111111
92,166,1.494788804549931,0.001,0.001,0.8857883750461042,groups_111111
93,167,1.5297551878779247,0.01,0.003,0.8971713329665363,groups_111111
94,169,1.518233338604348,0.01,0.003,0.8984798750607297,groups_111111
95,170,1.52526598721542,0.001,0.001,0.8708315419498831,groups_111111
96,171,1.524898404546904,0.01,0.003,0.8945546670584008,groups_111111
97,172,1.5266488586164793,0.01,0.003,0.8970088330097497,groups_111111
98,173,1.522258998781022,0.01,0.003,0.8924085000762716,groups_111111
99,174,1.523009800391543,0.01,0.003,0.8936297080945224,groups_111111
100,176,1.53125323503314,0.0031622776601683,0.001,0.9018195000244305,groups_111111
101,178,1.5371957257137792,0.0031622776601683,0.001,0.8910242499550804,groups_111111
102,181,1.5182044616256856,0.01,0.003,0.8974921250483021,groups_111111
103,183,1.520766733688265,0.0031622776601683,0.001,0.8889464170206338,groups_111111
104,185,1.4958906810705486,0.01,0.003,0.8967909161001444,groups_111111
105,186,1.4976863585440243,0.0031622776601683,0.001,0.8906071659876034,groups_111111
106,188,1.522248504991137,0.0031622776601683,0.001,0.9066762500442564,groups_111111
107,190,1.5125853510059728,0.0316227766016837,0.003,0.8938676250400022,groups_111111
108,191,1.5200306031597823,0.01,0.003,0.8977882079780102,groups_111111
109,192,1.5167457896647272,0.01,0.003,0.891405374975875,groups_111111
110,193,1.5144479980931749,0.0031622776601683,0.001,0.8900977920275182,groups_111111
111,195,1.516611684247314,0.0031622776601683,0.001,0.8810023749247193,groups_111111
112,198,1.5115560853108634,0.0031622776601683,0.001,0.8993583339033648,groups_111111
113,199,1.5036435782229158,0.0031622776601683,0.001,0.882264457992278,groups_111111
114,200,1.513530420817637,0.01,0.003,0.9050221249926836,groups_111111
115,201,1.5208768576145637,0.01,0.003,0.8997819579672068,groups_111111
1,1,1.365636784175449,0.01,0.003,0.8954301250632852,groups_011111
2,2,1.3820021134986058,0.01,0.003,0.9008119999198244,groups_011111
3,3,1.342597654915552,0.01,0.003,0.8935014170128852,groups_011111
4,5,1.3617958079872108,0.01,0.003,0.8950740420259535,groups_011111
5,6,1.3750012362693995,0.01,0.003,0.9261840420076624,groups_011111
6,7,1.3744109823673158,0.01,0.003,0.893261417048052,groups_011111
7,8,1.3659999902862958,0.01,0.003,0.9138244580244644,groups_011111
8,9,1.3850481173333062,0.01,0.003,0.8963538750540465,groups_011111
9,12,1.3753495667226787,0.01,0.003,0.8919971249997616,groups_011111
10,13,1.3746863919572885,0.01,0.003,0.9069250840693712,groups_011111
11,14,1.3715551877827648,0.01,0.003,0.9059413749491796,groups_011111
12,15,1.3798831009369203,0.01,0.003,0.9183501660590992,groups_011111
13,16,1.3768187167301138,0.01,0.003,0.897484166896902,groups_011111
14,17,1.3906682390855911,0.01,0.003,0.8934368329355493,groups_011111
15,18,1.3915001372164342,0.01,0.003,0.906101124943234,groups_011111
16,19,1.3909134133324343,0.01,0.003,0.9078559579793364,groups_011111
17,21,1.3729000457850435,0.0316227766016837,0.01,0.902128291898407,groups_011111
18,22,1.3575469177642403,0.01,0.003,0.9005792499519885,groups_011111
19,23,1.3900149789596503,0.01,0.003,0.9211768339155242,groups_011111
20,24,1.4113193189294422,0.01,0.003,0.8999204579740763,groups_011111
21,25,1.401730257790487,0.01,0.003,0.905095416936092,groups_011111
22,26,1.4222576229110908,0.01,0.003,0.8976276250323281,groups_011111
23,27,1.4119118169981786,0.01,0.003,0.8912439170526341,groups_011111
24,28,1.4136236701450602,0.01,0.003,0.8997645840281621,groups_011111
25,29,1.4147897639117153,0.01,0.003,0.904999167076312,groups_011111
26,30,1.4119580416160271,0.01,0.003,0.9048574169864878,groups_011111
27,32,1.411732204732303,0.01,0.003,0.9358152919448912,groups_011111
28,34,1.405730711303637,0.01,0.003,0.8984800420003012,groups_011111
29,36,1.416691761262066,0.01,0.003,0.8997392089804634,groups_011111
30,37,1.4068662004655168,0.01,0.003,0.9005248330067843,groups_011111
31,38,1.397641378518782,0.01,0.003,0.91798662499059,groups_011111
32,40,1.414021932503528,0.01,0.003,0.9106637090444564,groups_011111
33,41,1.372157108446617,0.01,0.003,0.8979436249937862,groups_011111
