features,fit_seconds,n_experiments,n_predictors,omitted_groups,retained_groups,run_signature,subset_id,train_oof_bias_age_minus_prediction,train_oof_mae,train_oof_r2,train_oof_rmse,retained_groups_fullfit,full_train_inner_cv_rmse,full_train_alpha,full_train_gamma,test_rmse,test_mae,test_r2,test_bias_age_minus_prediction,full_fit_seconds,delta_train_oof_rmse,delta_test_rmse
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",114.4962008750299,4,23,"['Box and Blocks', 'Lift-object light']","['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011101,0.003472447327517521,1.2266562448254292,0.8450720692675533,1.5509575327800864,,,,,,,,,,0.12945826562906415,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakLoadForceLight', 'peakGripForceRateLight', 'peakLoadForceRateLight', 'T1T3Light', 'T1T5Light', 'liftMeanDifferencesLight', 'numPeaksLight']",117.21751316601876,4,23,"['Box and Blocks', 'Lift-object heavy']","['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011110,-0.011319727873189593,1.23764499163744,0.8391129294103435,1.5805040693161898,,,,,,,,,,0.15900480216516755,
"['Sex_0Female_1Male', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",116.80251591594424,3,21,"['Box and Blocks', 'Jebsen-Taylor', 'Reach-to-grasp']","['Finger pressing', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_001011,0.02584344621860101,1.3376504555026782,0.8130820954258915,1.7035720187154169,,,,,,,,,,0.2820727515643946,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",119.93047287501395,3,23,"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp']","['Jebsen-Taylor', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_010011,-0.045870324575045314,1.4586811440934602,0.7968229883629567,1.7761201053853284,,,,,,,,,,0.3546208382343061,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",116.9556268339511,3,19,"['Box and Blocks', 'Reach-to-grasp', 'Lift-object light']","['Jebsen-Taylor', 'Finger pressing', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011001,0.03053022810437071,1.2996266576949072,0.8303747422528043,1.622857199634762,"['Jebsen-Taylor', 'Finger pressing', 'Lift-object heavy']",1.6380684190907604,0.001,0.001,1.7188777635759436,1.4030110377371992,0.8069230626351366,0.1976428902548792,0.8456547079840675,0.2013579324837398,0.3154263128536545
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakLoadForceLight', 'peakGripForceRateLight', 'peakLoadForceRateLight', 'T1T3Light', 'T1T5Light', 'liftMeanDifferencesLight', 'numPeaksLight']",117.26516429206822,3,19,"['Box and Blocks', 'Reach-to-grasp', 'Lift-object heavy']","['Jebsen-Taylor', 'Finger pressing', 'Lift-object light']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011010,0.004760354274206019,1.2967449850588653,0.8283461883064878,1.6325322603946155,,,,,,,,,,0.21103299324359326,
"['Sex_0Female_1Male', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",105.3897430410143,2,13,"['Box and Blocks', 'Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light']","['Finger pressing', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_001001,0.01596457509380377,1.5915702638620637,0.7499465708503836,1.9703866375415313,,,,,,,,,,0.548887370390509,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",107.08878558303695,2,15,"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']","['Jebsen-Taylor', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_010001,-0.009585324992392237,1.4379967259262016,0.7852265639571097,1.8261032477841388,"['Jebsen-Taylor', 'Lift-object heavy']",1.8940765569700573,0.0031622776601683794,0.003,1.7988616332413228,1.4602980704558226,0.7885362483708986,0.12123359489449421,0.8102097910596058,0.40460398063311653,0.3954101825190337
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT']",113.45895008300431,2,11,"['Box and Blocks', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']","['Jebsen-Taylor', 'Finger pressing']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011000,-0.0015465262804513875,1.5237983659185261,0.7681103770089875,1.8974734310989978,,,,,,,,,,0.47597416394797554,
"['Sex_0Female_1Male', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",112.99233495804947,1,9,"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']",['Lift-object heavy'],105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_000001,0.04613622424616552,2.6138103221557496,0.31819070440847086,3.2536175744801183,,,,,,,,,,1.832118307329096,
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans']",110.95700858300552,1,7,"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",['Jebsen-Taylor'],105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_010000,0.0026723284400724297,1.7740359109232902,0.6826159985578104,2.2198701013902733,['Jebsen-Taylor'],2.2094744326800995,0.1,0.01,1.8932835317853303,1.4596574480463607,0.7657542450322886,0.09350143252685968,0.8501208750531077,0.798370834239251,0.4898320810630412
