loo_position,sample_id,observed_y,loo_prediction,signed_residual,absolute_residual
50,104,5.916666666666667,4.620499876347339,1.2961667903193277,1.2961667903193277
51,106,11.0,11.984954571947487,-0.9849545719474868,0.9849545719474868
52,108,5.583333333333333,7.5794405505451685,-1.9961072172118355,1.9961072172118355
53,109,8.666666666666666,11.0913291414012,-2.424662474734534,2.424662474734534
54,110,11.416666666666666,11.715189331824254,-0.29852266515758785,0.29852266515758785
55,112,4.416666666666667,5.7733482441011486,-1.3566815774344816,1.3566815774344816
56,113,7.0,5.871808371144252,1.128191628855748,1.128191628855748
57,115,9.583333333333334,7.618699469885885,1.9646338634474487,1.9646338634474487
58,116,6.083333333333333,6.643492667346387,-0.5601593340130542,0.5601593340130542
59,118,8.333333333333334,8.33108025321809,0.002253080115243833,0.002253080115243833
60,119,7.916666666666667,10.029770947092322,-2.113104280425655,2.113104280425655
61,120,8.25,8.537752103219663,-0.28775210321966327,0.28775210321966327
62,121,9.0,9.748930670623066,-0.7489306706230661,0.7489306706230661
63,122,4.583333333333333,7.486223949155835,-2.9028906158225016,2.9028906158225016
64,124,8.916666666666666,9.677858470808818,-0.7611918041421522,0.7611918041421522
65,125,9.333333333333334,8.427054918822462,0.9062784145108722,0.9062784145108722
66,126,9.25,10.121809174660264,-0.8718091746602639,0.8718091746602639
67,127,11.666666666666666,11.895848421408026,-0.2291817547413597,0.2291817547413597
68,129,8.333333333333334,8.233451197858425,0.09988213547490865,0.09988213547490865
69,130,11.583333333333334,9.931830489805776,1.6515028435275578,1.6515028435275578
70,133,8.25,6.582178335167585,1.667821664832415,1.667821664832415
71,135,11.666666666666666,12.176122843337657,-0.5094561766709909,0.5094561766709909
72,137,10.416666666666666,7.592423345578476,2.82424332108819,2.82424332108819
73,138,5.916666666666667,8.112116296113577,-2.1954496294469097,2.1954496294469097
74,139,4.916666666666667,6.198302963142686,-1.2816362964760186,1.2816362964760186
75,140,11.833333333333334,12.799686814661626,-0.9663534813282926,0.9663534813282926
76,141,7.833333333333333,9.394917241927113,-1.5615839085937795,1.5615839085937795
77,142,9.916666666666666,9.863934470640599,0.05273219602606716,0.05273219602606716
78,144,12.083333333333334,7.835760284676559,4.247573048656775,4.247573048656775
79,145,4.666666666666667,5.801470153662979,-1.1348034869963124,1.1348034869963124
80,146,4.583333333333333,5.391369437528942,-0.808036104195609,0.808036104195609
81,147,6.333333333333333,5.284176606884635,1.0491567264486976,1.0491567264486976
82,148,12.0,9.499888541675139,2.500111458324861,2.500111458324861
83,149,8.0,7.752485472825297,0.2475145271747028,0.2475145271747028
84,150,4.166666666666667,5.072009458732097,-0.9053427920654302,0.9053427920654302
85,151,10.666666666666666,11.46070133132273,-0.7940346646560634,0.7940346646560634
86,153,4.083333333333333,4.5657324840476745,-0.4823991507143415,0.4823991507143415
87,154,6.75,7.760039926711897,-1.0100399267118974,1.0100399267118974
88,158,10.166666666666666,9.751017489051726,0.4156491776149398,0.4156491776149398
89,160,10.75,10.096299747178087,0.6537002528219134,0.6537002528219134
90,165,6.583333333333333,3.4846999717954565,3.0986333615378765,3.0986333615378765
91,166,9.25,11.258067143708661,-2.0080671437086615,2.0080671437086615
92,167,11.333333333333334,10.650024738653453,0.6833085946798807,0.6833085946798807
93,169,6.833333333333333,9.001384736260292,-2.1680514029269586,2.1680514029269586
94,170,7.166666666666667,6.1307522808913095,1.0359143857753574,1.0359143857753574
95,171,5.0,4.62656630675145,0.3734336932485496,0.3734336932485496
96,172,6.25,5.994947699184115,0.25505230081588515,0.25505230081588515
97,173,9.833333333333334,9.987047362009983,-0.1537140286766494,0.1537140286766494
98,174,12.0,10.302069654661246,1.6979303453387544,1.6979303453387544
99,176,11.666666666666666,11.892150242146611,-0.22548357547994513,0.22548357547994513
100,178,7.5,8.074499303450022,-0.5744993034500219,0.5744993034500219
101,181,6.166666666666667,6.992482707334627,-0.8258160406679602,0.8258160406679602
102,183,11.583333333333334,11.414541676596317,0.16879165673701735,0.16879165673701735
103,185,11.0,8.371930649176612,2.628069350823388,2.628069350823388
104,186,6.0,7.721834771571489,-1.7218347715714888,1.7218347715714888
105,188,9.25,7.974750281122498,1.275249718877502,1.275249718877502
106,190,5.583333333333333,7.591373405346123,-2.00804007201279,2.00804007201279
107,191,7.75,6.469062520638703,1.280937479361297,1.280937479361297
108,192,9.583333333333334,9.016280672775796,0.5670526605575379,0.5670526605575379
109,193,7.666666666666667,7.928051277296184,-0.26138461062951723,0.26138461062951723
110,195,10.5,9.993078184831608,0.5069218151683916,0.5069218151683916
111,198,10.583333333333334,10.613199824554135,-0.029866491220801095,0.029866491220801095
112,199,5.333333333333333,6.353708918541479,-1.0203755852081455,1.0203755852081455
113,200,4.75,4.537629408426935,0.21237059157306515,0.21237059157306515
114,201,4.083333333333333,4.796726333510577,-0.7133930001772439,0.7133930001772439
