fit_role,loo_position,sample_id,n_fit_observations,inner_cv_rmse,fit_seconds,best_parameters,model__regressor__alpha,model__regressor__gamma
leave_one_out,46.0,59.0,114,1.4146544692895082,0.8957143339794129,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,47.0,60.0,114,1.412312840290776,0.8794878750341013,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,48.0,101.0,114,1.425848203496594,0.8874429580755532,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,49.0,102.0,114,1.4221663928242363,0.8809652089839801,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,50.0,104.0,114,1.4609677377084034,0.8851477919379249,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.001}",0.01,0.001
leave_one_out,51.0,106.0,114,1.4553911679516582,0.8692903330083936,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,52.0,108.0,114,1.4421449033480065,0.8725745410192758,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,53.0,109.0,114,1.4253197851458805,0.8738627909915522,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,54.0,110.0,114,1.467780277335444,0.871216082945466,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,55.0,112.0,114,1.4681665508591024,0.8840925419935957,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,56.0,113.0,114,1.4781825080392987,0.8670140829635784,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,57.0,115.0,114,1.4560404980843968,0.8769615419441834,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,58.0,116.0,114,1.4515155467934802,0.8797643750440329,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,59.0,118.0,114,1.4486885717371298,0.8701134999282658,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,60.0,119.0,114,1.4564382175832808,0.898661290993914,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,61.0,120.0,114,1.492849049495415,0.9036761249881238,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,62.0,121.0,114,1.4781633144927118,0.8942381659289822,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,63.0,122.0,114,1.4439582424924886,0.8817326249554753,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,64.0,124.0,114,1.462537312491795,0.9239257909357548,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,65.0,125.0,114,1.4656824212033712,0.8814030420035124,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,66.0,126.0,114,1.4601394678352049,0.8729725409066305,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
